type	cv
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	2
votu	3
votu	1
votu	3
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	8
votu	2
votu	2
votu	5
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	5
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	9
votu	2
votu	7
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	8
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	3
votu	1
votu	1
votu	3
votu	1
votu	2
votu	2
votu	1
votu	2
votu	2
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	4
votu	4
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	2
votu	3
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	2
votu	1
votu	2
votu	3
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	7
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	4
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	6
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	2
votu	2
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	7
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	2
votu	2
votu	4
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	2
votu	1
votu	9
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	6
votu	1
votu	1
votu	1
votu	1
votu	5
votu	14
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	7
votu	2
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	4
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	7
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
