sample_id	g__Lactiplantibacillus	g__Ligilactobacillus	g__Lacticaseibacillus	g__Lactobacillus	g__Streptococcus	g__Enterococcus	g__Enterococcus_B	g__Listeria	g__Listeria_A	g__Staphylococcus	g__Bacillus	g__Bacillus_A	g__Paenibacillus	g__Streptomyces	g__Mycobacterium	g__Corynebacterium	g__Rhizobium	g__Brucella	g__Neisseria	g__Burkholderia	g__Acinetobacter	g__Pseudomonas	g__Pseudomonas_E	g__Serratia	g__Yersinia	g__Cronobacter	g__Enterobacter	g__Klebsiella	g__Escherichia	g__Citrobacter	g__Salmonella
11	2.110678298	1.546026651	1.7684639	2.100555823	1.596840846	1.932306497	1.626659542	1.640007359	1.847663774	1.56857782	1.697195921	1.903324246	8.42978096	2.702420772	2.566208618	3.261263641	3.209297538	1.643372879	1.535348715	1.870760232	1.662601456	2.403238025	1.62375846	1.793308994	1.652980097	1.579884257	1.564803725	1.500141287	2.619640948	2.239374498	1.662030195
12	1.699942837	1.916332112	1.919254769	2.048559075	1.839549931	2.086122975	2.038179069	1.635374614	1.666204015	2.047558616	2.502609071	5.904542182	2.792584222	1.94587492	2.097125608	1.928687342	1.561014182	1.618024302	1.699823329	1.624019143	1.66562557	1.631780466	1.525535578	2.389162957	1.815570535	1.53103256	1.670077497	1.710463917	1.547795561	1.564704753	1.511351967
13	1.553207564	1.724233838	1.552369928	1.846425515	1.868898267	1.841649775	1.522234705	1.521758923	1.849258352	1.94275972	1.559475752	1.629625576	5.255083225	1.625567637	1.712926542	1.675415279	1.787226754	1.618110254	1.643565309	1.549356417	1.877982888	1.532149956	1.550735365	1.790242695	2.622724145	1.902160966	1.516443717	1.687827832	1.690628805	1.619712532	1.51045922
14	1.747649514	1.876544201	1.873133949	7.79886751	2.270289538	1.686989431	1.525412875	1.762939655	1.742519104	1.64613455	1.523638709	1.508374418	2.488392487	1.699726295	1.698898997	1.605783934	1.540229596	1.562388654	1.630116783	1.596903045	1.73306049	1.506820475	1.662308738	1.518927078	1.590153854	3.983668125	1.619031004	1.575700686	1.814541192	1.639817712	1.577341364
15	1.63587024	1.705687131	2.065975777	1.850102111	1.880147396	1.646349085	1.685120696	1.624635748	1.618569821	1.589145531	2.319508391	3.806071488	1.602748949	1.519260092	7.879735748	1.929053602	1.776047334	1.939812954	1.557116791	1.646310385	1.528111205	1.711390027	1.835693416	2.252700153	1.948841536	6.084328045	1.618970893	2.213430949	1.748264269	2.272421605	1.689728917
16	2.041544232	2.301274281	1.524280498	2.708643112	1.675610338	1.670992314	6.713683578	1.542443832	1.510665519	2.323255934	2.145121676	1.553698729	1.51724929	1.57612267	2.58432046	1.633419643	1.590606324	2.033517167	2.525215695	1.619743189	1.550235745	1.614647977	1.603797464	2.865683001	2.213432013	1.527931124	1.652191472	1.885483252	2.248960964	1.558870449	1.613743086
17	1.864149934	2.49423272	1.518000956	1.721958961	2.490105714	2.183909718	2.323543312	1.50322928	1.717783366	1.746333714	1.593799365	1.576428597	2.954989413	1.51583482	4.230219652	1.834240015	1.821271776	1.890719896	1.752722965	1.695242389	10.21602698	1.675819679	1.502675566	1.761973499	2.137058503	1.597957651	1.696763573	1.551185598	1.70062308	1.527612169	1.537128366
18	2.419868364	2.720665321	1.537325338	2.240659461	1.513948048	1.596788117	1.703106801	1.716054465	2.618904236	2.633617418	1.795044309	1.672892206	4.330286031	1.560842998	1.67606516	1.820823984	1.61119358	1.772517351	1.777734868	1.600079201	1.594370315	1.603954981	1.798520213	2.003855603	1.996711163	1.762766209	1.793249774	1.581982374	3.142801223	3.153536994	2.121429182
19	1.840743457	10.79058017	1.701428387	1.765103562	4.042665525	1.505518153	1.582532883	1.717730256	1.665791056	1.756827745	1.684609628	1.601963587	2.731879212	1.506096332	2.545611819	2.448318597	1.59297555	2.011427785	2.331322675	1.868525904	2.076794068	1.993106256	2.600650835	1.627515359	1.540732878	1.701956072	2.730389306	1.978884947	2.684662684	1.807547297	1.511338363
20	1.813590737	2.066275905	9.417216168	1.714928186	1.921414203	1.642820528	1.85176426	1.763513371	1.695679173	3.209770402	1.782120928	1.886644266	3.643625984	1.885414465	1.70280211	2.115654392	1.547231347	1.824419569	2.748215953	1.598780678	2.433653097	2.035052216	2.86884709	3.215848214	2.137874289	2.403126191	1.504888886	1.539095674	1.526951674	2.743973882	1.992900483
