sample_size	sample_times	vcs
328000	8	1111
328000	9	1124
332000	0	1138
332000	1	1123
332000	2	1130
332000	3	1115
332000	4	1140
332000	5	1141
332000	6	1142
332000	7	1115
332000	8	1103
332000	9	1107
336000	0	1148
336000	1	1128
336000	2	1131
336000	3	1135
336000	4	1128
336000	5	1124
336000	6	1124
336000	7	1118
336000	8	1130
336000	9	1130
340000	0	1133
340000	1	1124
340000	2	1139
340000	3	1116
340000	4	1125
340000	5	1144
340000	6	1126
340000	7	1155
340000	8	1144
340000	9	1143
344000	0	1139
344000	1	1133
344000	2	1132
344000	3	1129
344000	4	1127
344000	5	1130
344000	6	1146
344000	7	1150
344000	8	1153
344000	9	1130
348000	0	1147
348000	1	1125
348000	2	1144
348000	3	1151
348000	4	1142
348000	5	1153
348000	6	1128
348000	7	1153
348000	8	1147
348000	9	1151
352000	0	1153
352000	1	1141
352000	2	1143
352000	3	1143
352000	4	1152
352000	5	1151
352000	6	1154
352000	7	1131
352000	8	1150
352000	9	1142
356000	0	1168
356000	1	1164
356000	2	1142
356000	3	1150
356000	4	1158
356000	5	1166
356000	6	1152
356000	7	1167
356000	8	1164
356000	9	1162
360000	0	1150
360000	1	1154
360000	2	1155
360000	3	1163
360000	4	1150
360000	5	1159
360000	6	1146
360000	7	1164
360000	8	1166
360000	9	1167
364000	0	1166
364000	1	1160
364000	2	1148
364000	3	1162
364000	4	1179
364000	5	1175
364000	6	1164
364000	7	1164
364000	8	1152
364000	9	1161
368000	0	1165
368000	1	1180
368000	2	1177
368000	3	1181
368000	4	1164
368000	5	1180
368000	6	1158
368000	7	1164
368000	8	1172
368000	9	1175
372000	0	1172
372000	1	1183
372000	2	1171
372000	3	1177
372000	4	1183
372000	5	1176
372000	6	1169
372000	7	1184
372000	8	1190
372000	9	1185
376000	0	1188
376000	1	1191
376000	2	1175
376000	3	1183
376000	4	1182
376000	5	1182
376000	6	1182
376000	7	1187
376000	8	1178
376000	9	1193
380000	0	1193
380000	1	1200
380000	2	1190
380000	3	1185
380000	4	1189
380000	5	1183
380000	6	1184
380000	7	1184
380000	8	1176
380000	9	1185
384000	0	1200
384000	1	1198
384000	2	1186
384000	3	1191
384000	4	1198
384000	5	1202
384000	6	1194
384000	7	1196
384000	8	1192
384000	9	1197
388000	0	1194
388000	1	1196
388000	2	1200
388000	3	1201
388000	4	1201
388000	5	1185
388000	6	1212
388000	7	1187
388000	8	1195
388000	9	1208
392000	0	1206
392000	1	1203
392000	2	1194
392000	3	1189
392000	4	1190
392000	5	1197
392000	6	1204
392000	7	1206
392000	8	1193
392000	9	1207
396000	0	1217
396000	1	1203
396000	2	1208
396000	3	1206
396000	4	1214
396000	5	1199
396000	6	1200
396000	7	1217
396000	8	1201
396000	9	1207
400000	0	1214
400000	1	1207
400000	2	1212
400000	3	1206
400000	4	1216
400000	5	1216
400000	6	1210
400000	7	1209
400000	8	1210
400000	9	1208
404000	0	1216
404000	1	1230
404000	2	1227
404000	3	1208
404000	4	1213
404000	5	1213
404000	6	1218
404000	7	1223
404000	8	1211
404000	9	1215
408000	0	1217
408000	1	1228
408000	2	1220
408000	3	1226
408000	4	1215
408000	5	1217
408000	6	1218
408000	7	1209
408000	8	1223
408000	9	1214
412000	0	1231
412000	1	1220
412000	2	1223
412000	3	1228
412000	4	1225
412000	5	1227
412000	6	1231
412000	7	1229
412000	8	1226
412000	9	1227
416000	0	1232
416000	1	1231
416000	2	1232
416000	3	1234
416000	4	1236
416000	5	1226
416000	6	1231
416000	7	1230
416000	8	1232
416000	9	1226
420000	0	1239
420000	1	1238
420000	2	1237
420000	3	1234
420000	4	1228
420000	5	1235
420000	6	1243
