sample_size	sample_times	vcs
260000	8	72299
260000	9	72513
264000	0	73347
264000	1	73293
264000	2	73375
264000	3	73575
264000	4	73383
264000	5	73129
264000	6	73129
264000	7	73449
264000	8	73285
264000	9	73140
268000	0	73715
268000	1	73850
268000	2	73983
268000	3	74170
268000	4	73938
268000	5	73963
268000	6	74160
268000	7	74028
268000	8	74028
268000	9	74057
272000	0	74994
272000	1	74511
272000	2	74663
272000	3	74702
272000	4	74813
272000	5	74844
272000	6	74821
272000	7	74910
272000	8	74622
272000	9	74634
276000	0	75385
276000	1	75652
276000	2	75392
276000	3	75459
276000	4	75500
276000	5	75394
276000	6	75491
276000	7	75491
276000	8	75578
276000	9	75631
280000	0	76213
280000	1	76046
280000	2	76340
280000	3	76109
280000	4	76211
280000	5	76171
280000	6	76347
280000	7	76298
280000	8	76296
280000	9	76336
284000	0	77125
284000	1	76982
284000	2	77033
284000	3	77153
284000	4	76969
284000	5	77048
284000	6	77046
284000	7	76849
284000	8	76964
284000	9	76857
288000	0	77576
288000	1	77618
288000	2	78023
288000	3	77785
288000	4	77757
288000	5	77718
288000	6	77692
288000	7	77637
288000	8	77790
288000	9	77980
292000	0	78321
292000	1	78437
292000	2	78500
292000	3	78461
292000	4	78483
292000	5	78617
292000	6	78483
292000	7	78528
292000	8	78259
292000	9	78521
296000	0	79301
296000	1	79367
296000	2	79281
296000	3	79238
296000	4	79243
296000	5	79261
296000	6	79118
296000	7	79510
296000	8	79312
296000	9	79159
300000	0	79873
300000	1	80195
300000	2	79798
300000	3	80059
300000	4	79771
300000	5	80049
300000	6	80114
300000	7	79949
300000	8	80042
300000	9	79911
304000	0	80714
304000	1	80799
304000	2	80735
304000	3	80644
304000	4	80949
304000	5	80862
304000	6	80596
304000	7	80651
304000	8	80771
304000	9	80599
308000	0	81444
308000	1	81501
308000	2	81297
308000	3	81514
308000	4	81486
308000	5	81598
308000	6	81469
308000	7	81375
308000	8	81578
308000	9	81379
312000	0	82247
312000	1	82071
312000	2	82042
312000	3	82090
312000	4	82291
312000	5	82173
312000	6	82176
312000	7	82040
312000	8	82242
312000	9	82107
316000	0	82716
316000	1	82806
316000	2	82659
316000	3	83047
316000	4	82769
316000	5	82905
316000	6	82965
316000	7	83003
316000	8	82875
316000	9	82985
320000	0	83669
320000	1	83598
320000	2	83572
320000	3	83841
320000	4	83563
320000	5	83647
320000	6	83608
320000	7	83799
320000	8	83474
320000	9	83575
324000	0	84048
324000	1	84336
324000	2	84399
324000	3	84351
324000	4	84415
324000	5	84289
324000	6	84102
324000	7	84251
324000	8	84143
324000	9	84254
328000	0	85138
328000	1	84938
328000	2	84984
328000	3	85173
328000	4	85067
328000	5	85045
328000	6	85200
328000	7	85238
328000	8	84999
328000	9	85057
332000	0	85599
332000	1	85645
332000	2	85893
332000	3	85923
332000	4	85653
332000	5	85888
332000	6	85859
332000	7	85808
332000	8	85764
332000	9	85555
336000	0	86561
336000	1	86429
336000	2	86368
336000	3	86530
336000	4	86465
336000	5	86503
336000	6	86266
336000	7	86379
336000	8	86318
336000	9	86617
340000	0	87158
340000	1	87136
340000	2	87172
340000	3	87150
340000	4	87205
340000	5	87236
340000	6	87098
340000	7	87130
340000	8	87140
340000	9	87218
344000	0	87731
344000	1	87770
344000	2	87792
344000	3	87739
344000	4	87678
344000	5	87691
344000	6	87684
344000	7	87816
344000	8	87733
344000	9	87774
348000	0	88449
348000	1	88458
348000	2	88280
348000	3	88551
348000	4	88398
348000	5	88562
348000	6	88522
348000	7	88393
348000	8	88352
348000	9	88550
352000	0	89165
352000	1	89150
352000	2	89247
352000	3	89255
352000	4	89299
352000	5	89162
352000	6	89278
352000	7	89130
352000	8	89169
352000	9	89199
356000	0	89839
356000	1	89849
356000	2	89939
356000	3	89993
356000	4	89866
356000	5	89735
356000	6	89843
356000	7	89930
356000	8	89870
356000	9	89935
360000	0	90641
360000	1	90622
360000	2	90569
360000	3	90592
360000	4	90480
360000	5	90615
360000	6	90568
360000	7	90431
360000	8	90453
360000	9	90616
364000	0	91270
364000	1	91311
364000	2	91327
364000	3	91177
364000	4	91298
364000	5	91121
364000	6	91173
364000	7	91256
364000	8	91164
364000	9	91273
368000	0	91791
368000	1	91913
368000	2	91948
368000	3	91776
368000	4	92052
368000	5	91921
368000	6	92141
368000	7	91662
368000	8	91817
368000	9	91714
372000	0	92655
372000	1	92592
372000	2	92611
372000	3	92630
372000	4	92621
372000	5	92611
372000	6	92532
372000	7	92633
372000	8	92618
372000	9	92551
376000	0	93196
376000	1	93277
376000	2	93184
376000	3	93219
376000	4	93264
376000	5	93191
376000	6	93275
376000	7	93261
376000	8	93247
376000	9	92965
380000	0	93905
380000	1	93795
380000	2	93932
380000	3	94031
380000	4	93931
380000	5	93870
