sample_size	sample_times	vcs
352000	6	7384
352000	7	7329
352000	8	7373
352000	9	7381
356000	0	7401
356000	1	7386
356000	2	7396
356000	3	7392
356000	4	7410
356000	5	7422
356000	6	7407
356000	7	7370
356000	8	7429
356000	9	7390
360000	0	7429
360000	1	7436
360000	2	7464
360000	3	7432
360000	4	7435
360000	5	7470
360000	6	7444
360000	7	7434
360000	8	7432
360000	9	7450
364000	0	7484
364000	1	7479
364000	2	7431
364000	3	7456
364000	4	7489
364000	5	7462
364000	6	7466
364000	7	7496
364000	8	7459
364000	9	7495
368000	0	7502
368000	1	7447
368000	2	7460
368000	3	7507
368000	4	7482
368000	5	7421
368000	6	7510
368000	7	7521
368000	8	7484
368000	9	7499
372000	0	7497
372000	1	7502
372000	2	7534
372000	3	7522
372000	4	7519
372000	5	7531
372000	6	7545
372000	7	7518
372000	8	7521
372000	9	7529
376000	0	7561
376000	1	7587
376000	2	7564
376000	3	7558
376000	4	7563
376000	5	7551
376000	6	7576
376000	7	7541
376000	8	7596
376000	9	7555
380000	0	7606
380000	1	7534
380000	2	7559
380000	3	7592
380000	4	7628
380000	5	7600
380000	6	7590
380000	7	7574
380000	8	7591
380000	9	7594
384000	0	7625
384000	1	7613
384000	2	7643
384000	3	7621
384000	4	7606
384000	5	7613
384000	6	7629
384000	7	7627
384000	8	7616
384000	9	7620
388000	0	7637
388000	1	7673
388000	2	7634
388000	3	7648
388000	4	7662
388000	5	7646
388000	6	7641
388000	7	7618
388000	8	7641
388000	9	7662
392000	0	7705
392000	1	7668
392000	2	7703
392000	3	7646
392000	4	7650
392000	5	7676
392000	6	7689
392000	7	7683
392000	8	7685
392000	9	7702
396000	0	7720
396000	1	7724
396000	2	7726
396000	3	7686
396000	4	7730
396000	5	7717
396000	6	7730
396000	7	7724
396000	8	7698
396000	9	7715
400000	0	7723
400000	1	7744
400000	2	7747
400000	3	7727
400000	4	7738
400000	5	7758
400000	6	7747
400000	7	7754
400000	8	7772
400000	9	7760
404000	0	7750
404000	1	7775
404000	2	7767
404000	3	7778
404000	4	7791
404000	5	7765
404000	6	7752
404000	7	7790
404000	8	7791
404000	9	7769
408000	0	7813
408000	1	7783
408000	2	7809
408000	3	7799
408000	4	7802
408000	5	7788
408000	6	7813
408000	7	7806
408000	8	7808
408000	9	7804
412000	0	7840
412000	1	7829
412000	2	7827
412000	3	7836
412000	4	7823
412000	5	7816
412000	6	7815
412000	7	7845
412000	8	7805
412000	9	7815
416000	0	7865
416000	1	7865
416000	2	7866
416000	3	7871
416000	4	7859
416000	5	7869
416000	6	7864
416000	7	7858
416000	8	7859
416000	9	7849
420000	0	7889
420000	1	7888
420000	2	7883
420000	3	7897
420000	4	7900
420000	5	7901
420000	6	7893
420000	7	7885
420000	8	7875
420000	9	7888
424000	0	7914
424000	1	7913
424000	2	7912
424000	3	7921
424000	4	7917
424000	5	7917
424000	6	7914
424000	7	7916
424000	8	7920
424000	9	7922
428000	0	7946
428000	1	7950
428000	2	7956
428000	3	7945
428000	4	7951
428000	5	7953
428000	6	7946
428000	7	7948
428000	8	7941
428000	9	7943
