Genome	type
BDP_224862	BDP
BDP_224881	BDP
BDP_224967	BDP
BDP_224991	BDP
BDP_225029	BDP
BDP_225254	BDP
BDP_225375	BDP
BDP_226019	BDP
BDP_22610	BDP
BDP_227006	BDP
BDP_227136	BDP
BDP_227277	BDP
BDP_227397	BDP
BDP_227766	BDP
BDP_228244	BDP
BDP_228644	BDP
BDP_228959	BDP
BDP_229094	BDP
BDP_229290	BDP
BDP_229943	BDP
BDP_230039	BDP
BDP_23112	BDP
BDP_231144	BDP
BDP_232048	BDP
BDP_232169	BDP
BDP_232768	BDP
BDP_232804	BDP
BDP_2329	BDP
BDP_232945	BDP
BDP_233772	BDP
BDP_233880	BDP
BDP_233982	BDP
BDP_234112	BDP
BDP_234994	BDP
BDP_235090	BDP
BDP_235487	BDP
BDP_236917	BDP
BDP_238548	BDP
BDP_238922	BDP
BDP_239211	BDP
BDP_239448	BDP
BDP_239760	BDP
BDP_239835	BDP
BDP_240028	BDP
BDP_240684	BDP
BDP_241082	BDP
BDP_241498	BDP
BDP_241695	BDP
BDP_241891	BDP
BDP_242094	BDP
BDP_24221	BDP
BDP_242708	BDP
BDP_243257	BDP
BDP_243587	BDP
BDP_243601	BDP
BDP_243760	BDP
BDP_243843	BDP
BDP_244014	BDP
BDP_244864	BDP
BDP_245013	BDP
BDP_245379	BDP
BDP_245698	BDP
BDP_245922	BDP
BDP_246439	BDP
BDP_246885	BDP
BDP_246893	BDP
BDP_247057	BDP
BDP_247087	BDP
BDP_247157	BDP
BDP_24723	BDP
BDP_247991	BDP
BDP_248403	BDP
BDP_248418	BDP
BDP_249178	BDP
BDP_249409	BDP
BDP_24948	BDP
BDP_250491	BDP
BDP_250604	BDP
BDP_250612	BDP
BDP_251803	BDP
BDP_251865	BDP
BDP_252065	BDP
BDP_252474	BDP
BDP_252500	BDP
BDP_252582	BDP
BDP_25315	BDP
BDP_253249	BDP
BDP_253348	BDP
BDP_253358	BDP
BDP_253655	BDP
BDP_253881	BDP
BDP_253955	BDP
BDP_254276	BDP
BDP_254479	BDP
BDP_255096	BDP
BDP_255622	BDP
BDP_256461	BDP
BDP_256536	BDP
BDP_256645	BDP
BDP_256832	BDP
BDP_257037	BDP
BDP_257038	BDP
BDP_257045	BDP
BDP_257316	BDP
BDP_25780	BDP
BDP_25783	BDP
BDP_257973	BDP
BDP_258050	BDP
BDP_258151	BDP
BDP_258153	BDP
BDP_258545	BDP
BDP_25879	BDP
BDP_259113	BDP
BDP_260015	BDP
BDP_260125	BDP
BDP_260398	BDP
BDP_261347	BDP
BDP_26171	BDP
BDP_261737	BDP
BDP_262356	BDP
BDP_262624	BDP
BDP_263143	BDP
BDP_263385	BDP
BDP_263867	BDP
BDP_263876	BDP
BDP_263984	BDP
BDP_263986	BDP
BDP_264437	BDP
BDP_264871	BDP
BDP_265033	BDP
BDP_265719	BDP
BDP_266660	BDP
BDP_266790	BDP
BDP_26737	BDP
BDP_267745	BDP
BDP_267948	BDP
BDP_268077	BDP
BDP_268258	BDP
BDP_268272	BDP
BDP_26840	BDP
BDP_268665	BDP
BDP_268752	BDP
BDP_268832	BDP
BDP_269357	BDP
BDP_269573	BDP
BDP_270063	BDP
BDP_270307	BDP
BDP_270603	BDP
BDP_270729	BDP
BDP_271494	BDP
BDP_271677	BDP
BDP_272245	BDP
BDP_272461	BDP
BDP_273327	BDP
BDP_273970	BDP
BDP_274201	BDP
BDP_274334	BDP
BDP_275052	BDP
BDP_275509	BDP
BDP_276170	BDP
BDP_276648	BDP
BDP_276943	BDP
BDP_278557	BDP
BDP_278588	BDP
BDP_279670	BDP
BDP_280118	BDP
BDP_280651	BDP
BDP_281782	BDP
BDP_281994	BDP
BDP_28248	BDP
BDP_282504	BDP
BDP_283170	BDP
BDP_283344	BDP
BDP_28357	BDP
BDP_284366	BDP
BDP_284694	BDP
BDP_284965	BDP
BDP_285662	BDP
BDP_285856	BDP
BDP_286538	BDP
BDP_286568	BDP
BDP_286672	BDP
BDP_286739	BDP
BDP_286870	BDP
BDP_286882	BDP
BDP_287227	BDP
BDP_287303	BDP
BDP_287540	BDP
BDP_288500	BDP
BDP_288590	BDP
BDP_288933	BDP
BDP_28915	BDP
BDP_289219	BDP
BDP_289813	BDP
BDP_289849	BDP
BDP_290020	BDP
BDP_290102	BDP
BDP_291198	BDP
BDP_291382	BDP
BDP_292011	BDP
BDP_292473	BDP
BDP_292826	BDP
BDP_292894	BDP
BDP_293931	BDP
BDP_294285	BDP
BDP_295362	BDP
BDP_295919	BDP
BDP_296567	BDP
BDP_296869	BDP
BDP_297101	BDP
BDP_297169	BDP
BDP_297273	BDP
BDP_297592	BDP
BDP_297671	BDP
BDP_297806	BDP
BDP_298003	BDP
BDP_29824	BDP
BDP_298347	BDP
BDP_299151	BDP
BDP_299424	BDP
BDP_299516	BDP
BDP_300484	BDP
BDP_30051	BDP
BDP_300785	BDP
BDP_301405	BDP
BDP_30147	BDP
BDP_301479	BDP
BDP_301585	BDP
BDP_301631	BDP
BDP_301993	BDP
BDP_302012	BDP
BDP_302281	BDP
BDP_30245	BDP
BDP_302479	BDP
BDP_303510	BDP
BDP_304211	BDP
BDP_304533	BDP
BDP_304799	BDP
BDP_305133	BDP
BDP_305264	BDP
BDP_305450	BDP
BDP_305456	BDP
BDP_305583	BDP
BDP_305655	BDP
BDP_305660	BDP
BDP_305763	BDP
BDP_306125	BDP
BDP_306915	BDP
BDP_306958	BDP
BDP_307910	BDP
BDP_308891	BDP
BDP_31017	BDP
BDP_310567	BDP
BDP_310848	BDP
BDP_310961	BDP
BDP_310966	BDP
BDP_311005	BDP
BDP_311041	BDP
BDP_31116	BDP
BDP_311204	BDP
BDP_31247	BDP
BDP_313011	BDP
BDP_313224	BDP
BDP_313302	BDP
BDP_313665	BDP
BDP_31446	BDP
BDP_314460	BDP
BDP_314548	BDP
BDP_314556	BDP
BDP_314557	BDP
BDP_314560	BDP
BDP_314788	BDP
BDP_315066	BDP
BDP_315165	BDP
BDP_315405	BDP
BDP_315681	BDP
BDP_3158	BDP
BDP_315864	BDP
BDP_316815	BDP
BDP_316932	BDP
BDP_317004	BDP
BDP_317089	BDP
BDP_317194	BDP
BDP_317206	BDP
BDP_31744	BDP
BDP_31763	BDP
BDP_317661	BDP
BDP_317776	BDP
BDP_318085	BDP
BDP_318306	BDP
BDP_31849	BDP
BDP_318501	BDP
BDP_319124	BDP
BDP_319273	BDP
BDP_319343	BDP
BDP_319344	BDP
BDP_319419	BDP
BDP_319432	BDP
BDP_319520	BDP
BDP_319639	BDP
BDP_319931	BDP
BDP_321012	BDP
BDP_321013	BDP
BDP_321138	BDP
BDP_321802	BDP
BDP_321891	BDP
BDP_322259	BDP
BDP_322287	BDP
BDP_322451	BDP
BDP_322563	BDP
BDP_322773	BDP
BDP_323506	BDP
BDP_323513	BDP
BDP_324372	BDP
BDP_325157	BDP
BDP_325363	BDP
BDP_325604	BDP
BDP_326020	BDP
BDP_326289	BDP
BDP_327241	BDP
BDP_327260	BDP
BDP_327615	BDP
BDP_327649	BDP
BDP_328173	BDP
BDP_328185	BDP
BDP_328619	BDP
BDP_328778	BDP
BDP_329139	BDP
BDP_329484	BDP
BDP_329500	BDP
BDP_329779	BDP
BDP_329799	BDP
BDP_329854	BDP
BDP_331003	BDP
BDP_331420	BDP
BDP_331823	BDP
BDP_331935	BDP
BDP_332002	BDP
BDP_332114	BDP
BDP_332117	BDP
BDP_332118	BDP
BDP_332221	BDP
BDP_33259	BDP
BDP_332797	BDP
BDP_332799	BDP
BDP_333159	BDP
BDP_333312	BDP
BDP_33343	BDP
BDP_333543	BDP
BDP_333749	BDP
BDP_333808	BDP
BDP_334064	BDP
BDP_334140	BDP
BDP_334237	BDP
BDP_334486	BDP
BDP_334604	BDP
BDP_334832	BDP
BDP_335070	BDP
BDP_335118	BDP
BDP_335139	BDP
BDP_335551	BDP
BDP_336030	BDP
BDP_336341	BDP
BDP_336580	BDP
BDP_33667	BDP
BDP_336853	BDP
BDP_33686	BDP
BDP_338301	BDP
BDP_3384	BDP
BDP_338601	BDP
BDP_339252	BDP
BDP_339437	BDP
BDP_339781	BDP
BDP_339877	BDP
BDP_34009	BDP
BDP_340522	BDP
BDP_34058	BDP
BDP_341015	BDP
BDP_341303	BDP
BDP_341709	BDP
BDP_341734	BDP
BDP_341736	BDP
BDP_342276	BDP
BDP_342321	BDP
BDP_342327	BDP
BDP_343497	BDP
BDP_343915	BDP
BDP_344304	BDP
BDP_34447	BDP
BDP_34455	BDP
BDP_344908	BDP
BDP_345270	BDP
BDP_345271	BDP
BDP_345848	BDP
BDP_345849	BDP
BDP_34607	BDP
BDP_346178	BDP
BDP_346731	BDP
BDP_346769	BDP
BDP_346956	BDP
BDP_347367	BDP
BDP_347374	BDP
BDP_347555	BDP
BDP_347578	BDP
BDP_347581	BDP
BDP_347841	BDP
BDP_348605	BDP
BDP_348944	BDP
BDP_349337	BDP
BDP_349340	BDP
BDP_349533	BDP
BDP_350035	BDP
BDP_350074	BDP
BDP_350388	BDP
BDP_351381	BDP
BDP_35163	BDP
BDP_351666	BDP
BDP_351939	BDP
BDP_351987	BDP
BDP_352377	BDP
BDP_352438	BDP
BDP_35338	BDP
